# tool: stig_patch_cycle_analyzer.py,,,,,,,,,,
# version: 1.0.0,,,,,,,,,,
# run_ts_utc: 2026-01-21T23:31:33+00:00Z,,,,,,,,,,
# run_id: 20260121_163133,,,,,,,,,,
STIG_NAME,STIG_ID,FILE_NAME,FULL_PATH,STIG_VERSION,STIG_REVISION,BENCHMARK_DATE,TOTAL_VULNS,NUM_CAT1,NUM_CAT2,NUM_CAT3
ADOBE COLDFUSION,ADOBE_COLDFUSION_STIG,U_ADOBE_COLDFUSION_STIG_V1R1_MANUAL-XCCDF.XML,C:\STIG Library\U_Adobe_ColdFusion_V1R1_STIG.zip\U_Adobe_ColdFusion_V1R1_Manual_STIG\U_Adobe_ColdFusion_STIG_V1R1_Manual-xccdf.xml,1,1,25-Nov-25,84,7,64,13
MAINFRAME PRODUCT,MAINFRAME_PRODUCT_SRG,U_MAINFRAME_PRODUCT_SRG_V3R4_MANUAL-XCCDF.XML,C:\STIG Library\U_Mainframe_Product_V3R4_SRG.zip\U_Mainframe_Product_V3R4_Manual_SRG\U_Mainframe_Product_SRG_V3R4_Manual-xccdf.xml,3,4,28-Oct-25,194,3,191,0
WEB SERVER,WEB_SERVER_SRG,U_WEB_SERVER_SRG_V4R4_MANUAL-XCCDF.XML,C:\STIG Library\U_Web_Server_V4R4_SRG.zip\U_Web_Server_V4R4_Manual_SRG\U_Web_Server_SRG_V4R4_Manual-xccdf.xml,4,4,28-Oct-25,126,5,121,0
